pdb_path,combined_metric
Shc1-PTB_1OY2_0061_NPEYp_0537.pdb,-1.99294092066627
Shc1-PTB_1OY2_0061_NPEYp_1446.pdb,-1.99466704935001
Shc1-PTB_1OY2_0061_NPEYp_0157.pdb,-1.99402912323476
Shc1-PTB_1OY2_0061_NPEYp_0269.pdb,-1.9896680015807
Shc1-PTB_1OY2_0061_NPEYp_1213.pdb,-1.99303904933243
Shc1-PTB_1OY2_0061_NPEYp_0630.pdb,-1.99129282901919
Shc1-PTB_1OY2_0061_NPEYp_0753.pdb,-1.99343836510328
Shc1-PTB_1OY2_0061_NPEYp_0321.pdb,-1.99005801522933
Shc1-PTB_1OY2_0061_NPEYp_0004.pdb,-1.99083064581659
Shc1-PTB_1OY2_0061_NPEYp_0834.pdb,-1.9871441009661
