pdb_path,interface_delta_X
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_2/results/Shc1-PTB_1OY2_0061_RTX60933293_0388.pdb,-22.15
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_2/results/Shc1-PTB_1OY2_0061_RTX60933293_3583.pdb,-21.459
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293/results/Shc1-PTB_1OY2_0061_RTX60933293_1898.pdb,-21.169
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_2/results/Shc1-PTB_1OY2_0061_RTX60933293_2943.pdb,-20.351
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_5/results/Shc1-PTB_1OY2_0061_RTX60933293_2844.pdb,-20.236
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_4/results/Shc1-PTB_1OY2_0061_RTX60933293_0260.pdb,-20.069
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_4/results/Shc1-PTB_1OY2_0061_RTX60933293_1709.pdb,-20.056
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_2/results/Shc1-PTB_1OY2_0061_RTX60933293_0925.pdb,-18.502
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_2/results/Shc1-PTB_1OY2_0061_RTX60933293_1029.pdb,-18.345
/home/ethollem/jobs/random_docking_expanded_sampling/hi_aff_ligand_results/RTX60933293_1/results/Shc1-PTB_1OY2_0061_RTX60933293_0839.pdb,-18.107
