pdb_path,interface_delta_X
Shc1-PTB_1OY2_0061_RTX60933293_0388.pdb,-22.15
Shc1-PTB_1OY2_0061_RTX60933293_3583.pdb,-21.459
Shc1-PTB_1OY2_0061_RTX60933293_1898.pdb,-21.169
Shc1-PTB_1OY2_0061_RTX60933293_2943.pdb,-20.351
Shc1-PTB_1OY2_0061_RTX60933293_2844.pdb,-20.236
Shc1-PTB_1OY2_0061_RTX60933293_0260.pdb,-20.069
Shc1-PTB_1OY2_0061_RTX60933293_1709.pdb,-20.056
Shc1-PTB_1OY2_0061_RTX60933293_0925.pdb,-18.502
Shc1-PTB_1OY2_0061_RTX60933293_1029.pdb,-18.345
Shc1-PTB_1OY2_0061_RTX60933293_0839.pdb,-18.107
