pdb_path,total_score
Shc1-PTB_1OY2_0061_RTX60933293_3913.pdb,-176.816
Shc1-PTB_1OY2_0061_RTX60933293_2879.pdb,-173.871
Shc1-PTB_1OY2_0061_RTX60933293_0313.pdb,-172.901
Shc1-PTB_1OY2_0061_RTX60933293_3287.pdb,-169.206
Shc1-PTB_1OY2_0061_RTX60933293_3917.pdb,-169.001
Shc1-PTB_1OY2_0061_RTX60933293_2406.pdb,-168.58
Shc1-PTB_1OY2_0061_RTX60933293_3818.pdb,-167.529
Shc1-PTB_1OY2_0061_RTX60933293_1493.pdb,-166.992
Shc1-PTB_1OY2_0061_RTX60933293_0693.pdb,-166.676
Shc1-PTB_1OY2_0061_RTX60933293_1167.pdb,-166.612
