pdb_path,interface_delta_X
Shc1-PTB_1OY2_0061_RTX73145433_2082.pdb,-24.12
Shc1-PTB_1OY2_0061_RTX73145433_2480.pdb,-23.709
Shc1-PTB_1OY2_0061_RTX73145433_2282.pdb,-23.628
Shc1-PTB_1OY2_0061_RTX73145433_2123.pdb,-23.275
Shc1-PTB_1OY2_0061_RTX73145433_3408.pdb,-23.015
Shc1-PTB_1OY2_0061_RTX73145433_0811.pdb,-22.881
Shc1-PTB_1OY2_0061_RTX73145433_1380.pdb,-22.648
Shc1-PTB_1OY2_0061_RTX73145433_2358.pdb,-22.411
Shc1-PTB_1OY2_0061_RTX73145433_2155.pdb,-22.266
Shc1-PTB_1OY2_0061_RTX73145433_0099.pdb,-22.186
