pdb_path,interface_delta_X
Shc1-PTB_1OY2_0061_RTX73145433_2082.pdb,-24.12
Shc1-PTB_1OY2_0061_RTX73145433_3408.pdb,-23.015
Shc1-PTB_1OY2_0061_RTX73145433_1380.pdb,-22.648
Shc1-PTB_1OY2_0061_RTX73145433_1076.pdb,-21.908
Shc1-PTB_1OY2_0061_RTX73145433_2623.pdb,-21.556
Shc1-PTB_1OY2_0061_RTX73145433_2717.pdb,-21.048
Shc1-PTB_1OY2_0061_RTX73145433_0210.pdb,-20.9
Shc1-PTB_1OY2_0061_RTX73145433_2930.pdb,-20.463
Shc1-PTB_1OY2_0061_RTX73145433_0004.pdb,-20.426
Shc1-PTB_1OY2_0061_RTX73145433_0177.pdb,-20.418
