pdb_path,total_score
Shc1-PTB_1OY2_0061_RTX73145433_1688.pdb,-170.042
Shc1-PTB_1OY2_0061_RTX73145433_3243.pdb,-169.728
Shc1-PTB_1OY2_0061_RTX73145433_3090.pdb,-169.481
Shc1-PTB_1OY2_0061_RTX73145433_1385.pdb,-168.38
Shc1-PTB_1OY2_0061_RTX73145433_2383.pdb,-167.676
Shc1-PTB_1OY2_0061_RTX73145433_0566.pdb,-167.649
Shc1-PTB_1OY2_0061_RTX73145433_0663.pdb,-167.243
Shc1-PTB_1OY2_0061_RTX73145433_0113.pdb,-166.83
Shc1-PTB_1OY2_0061_RTX73145433_3755.pdb,-166.675
Shc1-PTB_1OY2_0061_RTX73145433_2950.pdb,-166.634
