total_score	Grid_score	Transform_accept_ratio	angle_constraint	atom_pair_constraint	chainbreak	classic_grid_X	coordinate_constraint	dihedral_constraint	dslf_ca_dih	dslf_cs_ang	dslf_ss_dih	dslf_ss_dst	fa_atr	fa_dun	fa_elec	fa_pair	fa_rep	fa_sol	hbond_bb_sc	hbond_lr_bb	hbond_sc	hbond_sr_bb	if_X_angle_constraint	if_X_atom_pair_constraint	if_X_chainbreak	if_X_coordinate_constraint	if_X_dihedral_constraint	if_X_dslf_ca_dih	if_X_dslf_cs_ang	if_X_dslf_ss_dih	if_X_dslf_ss_dst	if_X_fa_atr	if_X_fa_dun	if_X_fa_elec	if_X_fa_pair	if_X_fa_rep	if_X_fa_sol	if_X_hbond_bb_sc	if_X_hbond_lr_bb	if_X_hbond_sc	if_X_hbond_sr_bb	if_X_omega	if_X_p_aa_pp	if_X_pro_close	if_X_ref	interface_delta_X	ligand_is_touching_X	omega	p_aa_pp	pro_close	ref	total_score_X	description	iter_id
-130.602	-30.000	0.594	0.000	0.000	0.000	-24.000	0.000	0.000	0.000	0.000	0.000	0.000	-677.444	220.795	-14.322	-10.281	197.828	288.615	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.834	0.000	-0.328	0.000	0.411	1.772	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.979	1.000	2.706	7.614	4.274	-45.990	-24.000	Shc1-PTB_1OY2_0061_trka_0001	trka_4
-132.926	-97.000	0.144	0.000	0.000	0.000	-46.000	1.439	0.000	0.000	0.000	0.000	0.000	-678.789	221.842	-14.528	-10.329	193.191	291.826	-7.890	-41.629	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-8.851	0.000	-0.307	0.000	0.654	5.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.462	1.000	2.460	7.390	4.124	-45.990	-46.000	Shc1-PTB_1OY2_0061_trka_0002	trka_4
-131.172	-56.000	0.316	0.000	0.000	0.000	-42.000	0.057	0.000	0.000	0.000	0.000	0.000	-681.797	220.793	-13.784	-10.163	197.642	291.203	-7.983	-40.370	-10.385	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9.912	0.000	0.240	0.000	0.621	4.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.991	1.000	3.128	7.677	4.274	-45.990	-42.000	Shc1-PTB_1OY2_0061_trka_0003	trka_4
-130.799	-11.000	0.884	0.000	0.000	0.000	-16.000	0.000	0.000	0.000	0.000	0.000	0.000	-677.640	220.795	-14.336	-10.281	197.810	290.383	-9.720	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-6.029	0.000	-0.342	0.000	0.392	3.540	-1.737	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.175	1.000	2.706	7.614	4.274	-45.990	-16.000	Shc1-PTB_1OY2_0061_trka_0004	trka_4
-131.742	-56.000	0.362	0.000	0.000	0.000	-29.000	0.140	0.000	0.000	0.000	0.000	0.000	-678.047	220.865	-14.295	-9.990	198.204	287.330	-8.077	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-6.229	0.000	-0.253	0.000	0.807	0.506	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.169	1.000	2.712	7.545	4.274	-45.990	-29.000	Shc1-PTB_1OY2_0061_trka_0005	trka_4
-131.600	-49.000	0.246	0.000	0.000	0.000	-28.000	0.110	0.000	0.000	0.000	0.000	0.000	-679.707	220.645	-13.668	-10.281	198.290	288.806	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-8.562	0.000	0.332	0.000	1.334	2.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.789	1.000	2.700	7.618	4.274	-45.990	-28.000	Shc1-PTB_1OY2_0061_trka_0006	trka_4
-127.647	-34.000	0.556	0.000	0.000	0.000	-9.000	0.000	0.000	0.000	0.000	0.000	0.000	-672.864	220.795	-14.101	-10.281	197.612	286.984	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.224	0.000	-0.060	0.000	0.195	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.948	1.000	2.706	7.614	4.274	-45.990	-9.000	Shc1-PTB_1OY2_0061_trka_0007	trka_4
-129.793	-58.000	0.062	0.000	0.000	0.000	-22.000	0.054	0.000	0.000	0.000	0.000	0.000	-675.588	220.927	-13.915	-10.289	197.385	286.878	-7.983	-40.260	-9.919	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.109	0.000	0.195	0.000	0.435	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.395	1.000	2.710	7.396	4.274	-45.990	-22.000	Shc1-PTB_1OY2_0061_trka_0008	trka_4
3388.019	-41.000	0.054	0.000	0.000	0.000	-126.000	833.290	0.000	0.000	0.000	0.000	0.000	-820.474	223.622	-13.935	-11.125	2923.851	359.124	-9.931	-40.369	-10.180	-46.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-132.910	0.000	-1.301	0.000	2111.527	70.282	-1.963	0.000	-0.870	0.000	0.000	0.000	0.000	0.000	2044.766	1.000	34.012	8.595	4.274	-45.990	-126.000	Shc1-PTB_1OY2_0061_trka_0009	trka_4
970.321	-52.000	0.068	0.000	0.000	0.000	-141.000	211.619	0.000	0.000	0.000	0.000	0.000	-782.124	240.112	-12.983	-10.095	1044.445	346.027	-8.850	-41.150	-10.910	-43.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-115.563	0.000	0.505	-0.255	808.145	58.737	-1.365	0.000	-1.774	0.000	0.000	0.000	0.000	0.000	748.429	1.000	70.168	8.928	4.274	-45.990	-141.000	Shc1-PTB_1OY2_0061_trka_0010	trka_4
-128.521	-98.000	0.104	0.000	0.000	0.000	-52.000	1.344	0.000	0.000	0.000	0.000	0.000	-685.771	227.557	-14.843	-9.076	198.734	293.783	-8.161	-40.370	-13.671	-46.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-11.036	0.000	-0.431	0.000	0.896	4.133	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-6.473	1.000	2.375	7.772	4.361	-45.990	-52.000	Shc1-PTB_1OY2_0061_trka_0011	trka_4
