pdb_path,total_score
Shc1-PTB_1OY2_0061_RTX73145433_2004.pdb,-181.271
Shc1-PTB_1OY2_0061_RTX73145433_1670.pdb,-175.014
Shc1-PTB_1OY2_0061_RTX73145433_2468.pdb,-174.888
Shc1-PTB_1OY2_0061_RTX73145433_3451.pdb,-174.707
Shc1-PTB_1OY2_0061_RTX73145433_0529.pdb,-174.689
Shc1-PTB_1OY2_0061_RTX73145433_1889.pdb,-173.494
Shc1-PTB_1OY2_0061_RTX73145433_1610.pdb,-172.676
Shc1-PTB_1OY2_0061_RTX73145433_0417.pdb,-172.376
Shc1-PTB_1OY2_0061_RTX73145433_1412.pdb,-171.933
Shc1-PTB_1OY2_0061_RTX73145433_3579.pdb,-171.669
